Scenario,Insulation_Thickness_mm,Total_Heating_Energy_J,Total_Cooling_Energy_J,Overheating_Degree_Hours
model_insul_10mm,10,8924025815.866835,19448542254.042473,150.02702038039683
model_insul_30mm,30,7869985497.147225,19820543650.31164,249.97897121129307
model_insul_50mm,50,7422334577.792894,20272443278.810314,361.47954658738615
model_insul_70mm,70,7217371160.9921,20693447349.371758,460.83845976758323
model_insul_100mm,100,7109673794.738454,21217253525.033302,594.8349936606849
